,from,to,sign,weight
66,ABL1,TP63,-1,0.278
67,ABL1,TP73,1,0.973
68,ABL1,VAV1,1,0.558
69,ABL1,VAV2,1,0.178
70,ABL1,WASF3,1,0.916
71,ABL1,WASL,1,0.743
72,ABL1,YAP1,1,0.779
73,ABL1,ARHGAP35,1,0.375
74,ABL1,CAT,1,0.563
75,ABL1,ENAH,1,0.965
76,ABL1,GPX1,1,0.688
77,ABL1,HCLS1,1,0.457
78,ABL1,LASP1,1,0.469
79,ABL1,NEDD9,1,0.725
80,ABL1,NFKBIA,1,0.612
81,ABL1,SORBS3,1,0.452
82,ABL1,SYNJ2,1,0.294
83,ABL1,TERT,-1,0.956
84,ABL1,TRIP10,1,0.15
85,ABL1,ZDHHC16,1,0.639
86,ABL2,CBL,1,0.198
87,ABL2,CTTN,1,0.527
88,ABL2,PSMA7,-1,0.959
89,ABL2,RIN1,1,0.917
90,ABL2,SIVA1,1,0.36
91,ABL2,SORBS2,1,0.393
92,ABL2,WASL,1,0.196
93,ABL2,CAT,1,0.42
94,ABL2,GPX1,1,0.4
95,ABRAXAS1,BRCA1,1,0.992
96,ACD,TERT,1,0.469
97,ACD,TINF2,1,0.996
98,ACE,AGT,1,0.995
99,ACP1,CTNNB1,1,0.917
100,ACP1,PDGFRB,-1,0.662
101,ACP1,ZAP70,-1,0.762
102,ACTA1,CTTN,1,0.956
103,ACTA1,RAC1,1,0.964
104,ACTB,CFL1,-1,0.996
105,ACTB,PLD1,-1,0.761
106,ACTB,NOS3,1,0.581
107,ACTL6A,ATM,1,0.263
108,ACTN1,PLD2,-1,0.391
109,ACTN1,SRC,1,0.951
110,ACVR1,SMAD1,1,0.97
111,ACVR1,SMAD5,1,0.988
112,ACVR1,SMAD9,1,0.991
113,ACVR1B,MAPK8,1,0.28
114,ACVR1B,SMAD2,1,0.995
115,ACVR1B,SMAD3,1,0.981
116,ACVR1B,SMAD4,1,0.984
117,ACVR2A,ACVR1,1,0.973
118,ACVR2A,ACVR1B,1,0.975
119,ACVR2B,ACVR1,1,0.922
120,ACVR2B,ACVR1B,1,0.975
121,ACVR2B,BMPR1B,1,0.96
122,ACVR2B,ACVRL1,1,0.96
123,ADAM10,APP,1,0.972
124,ADAM10,DLL1,1,0.949
125,ADAM10,NOTCH2,1,0.97
126,ADAM10,NOTCH3,1,0.963
127,ADAM12,EGF,1,0.961
128,ADAM12,SDC4,1,0.928
129,ADAM17,ERBB4,1,0.966
130,ADAM17,ITGB1,1,0.484
131,ADAM17,NOTCH1,1,0.986
132,ADAM17,TNF,1,0.971
133,ADAM19,TNFSF11,1,0.446
134,ADAM9,ITGAV,1,0.621
135,ADAM9,ITGA6,1,0.393
136,ADAMTS1,ACAN,-1,0.961
137,ADAMTS1,VCAN,1,0.657
138,ADAMTS4,ACAN,1,0.988
139,ADCY5,PRKACA,1,0.967
140,ADCYAP1,ADCYAP1R1,1,0.993
141,ADCYAP1,VIPR1,1,0.992
142,ADCYAP1R1,ADCYAP1,1,0.993
143,ADGRV1,USH2A,1,0.371
144,ADGRV1,VEZT,1,0.325
145,ADGRV1,WHRN,1,0.812
146,ADIPOQ,ADIPOR1,1,0.993
147,ADIPOQ,ADIPOR2,1,0.993
148,ADIPOR1,APPL1,1,0.96
149,ADIPOR2,APPL1,1,0.925
150,ADORA1,GNAI3,1,0.917
151,ADRA1A,GNA11,1,0.958
152,ADRA1A,GNAQ,1,0.964
153,ADRA1B,GNA11,1,0.952
154,ADRA1B,GNAQ,1,0.959
155,ADRB2,GNAS,1,0.959
156,ADRB3,GNAS,1,0.887
157,ADRM1,UCHL5,1,0.999
158,AES,RELA,-1,0.511
159,AFDN,CTNNA1,1,0.893
160,AFDN,RIN1,1,0.659
161,AFDN,SRC,1,0.974
162,AFDN,RIT1,1,0.692
163,AGER,DIAPH1,1,0.888
164,AGT,AGTR1,1,0.988
165,AGT,GRB2,1,0.911
166,AGT,MAS1,1,0.407
167,AGTR1,GNA13,1,0.866
168,AGTR1,GNAQ,1,0.964
169,AGTR1,GNG12,1,0.91
170,AGTR1,PLCG1,1,0.94
171,AGTR2,GNAQ,1,0.855
172,AHNAK,XRCC4,1,0.371
173,AHR,AR,1,0.631
174,AHR,ESR1,1,0.873
175,AHSA1,HSP90AA1,1,0.999
176,AHSA1,HSP90AB1,1,0.998
177,AHSA1,GCH1,1,0.35
178,AHSP,HBA1,1,0.987
179,AHSP,HBA2,1,0.987
180,AIMP1,SMURF2,1,0.384
181,AKAP1,PRKACA,1,0.98
182,AKAP13,RHOA,1,0.983
183,AKAP5,TRPV4,1,0.441
184,AKAP5,TRPV1,1,0.604
185,AKAP8,HDAC3,1,0.411
186,AKT1,ADRB2,-1,0.348
187,AKT1,AHNAK,1,0.699
188,AKT1,AKT1S1,-1,0.986
189,AKT1,AKT2,-1,0.937
190,AKT1,APPL1,1,0.973
191,AKT1,BAX,-1,0.936
192,AKT1,BRAF,-1,0.583
193,AKT1,BRCA1,1,0.669
194,AKT1,CASP3,1,0.971
195,AKT1,CDK2,1,0.443
196,AKT1,CDK9,1,0.303
197,AKT1,CDKN1C,-1,0.583
198,AKT1,CFLAR,-1,0.772
199,AKT1,CHUK,1,0.967
200,AKT1,CLK2,1,0.489
201,AKT1,CREB1,1,0.995
202,AKT1,CREBBP,1,0.973
203,AKT1,CTNNB1,1,0.994
204,AKT1,CTTN,1,0.718
205,AKT1,DAXX,1,0.319
206,AKT1,EIF4B,1,0.391
207,AKT1,EIF4EBP1,1,0.997
208,AKT1,EP300,1,0.973
209,AKT1,ESR1,1,0.989
210,AKT1,EZH2,-1,0.841
211,AKT1,FAS,-1,0.616
212,AKT1,FIP1L1,1,0.203
213,AKT1,GAB2,-1,0.977
214,AKT1,GATA1,1,0.781
215,AKT1,GSK3A,-1,0.969
216,AKT1,H3F3A,1,0.26
217,AKT1,H3F3B,1,0.237
218,AKT1,HMOX1,1,0.874
219,AKT1,HNRNPA1,-1,0.617
220,AKT1,HNRNPK,1,0.24
221,AKT1,HSP90AA1,1,0.996
222,AKT1,HSPB1,-1,0.901
223,AKT1,HTRA2,-1,0.632
224,AKT1,IKBKB,1,0.965
225,AKT1,ILF3,1,0.573
226,AKT1,ILK,1,0.989
227,AKT1,INS,-1,0.996
228,AKT1,IRAK1,-1,0.564
229,AKT1,IRS1,1,0.973
230,AKT1,ITGB1,1,0.505
231,AKT1,KHSRP,-1,0.965
232,AKT1,MAP2K4,-1,0.923
233,AKT1,MAP3K5,-1,0.971
234,AKT1,MDM4,1,0.736
235,AKT1,MEF2C,1,0.939
236,AKT1,MST1R,1,0.94
237,AKT1,NCF1,1,0.893
238,AKT1,NCL,1,0.304
239,AKT1,NCOR1,-1,0.351
240,AKT1,NFATC3,1,0.322
241,AKT1,NR4A1,-1,0.978
242,AKT1,NRF1,1,0.57
243,AKT1,NUAK1,1,0.267
244,AKT1,PAK1,1,0.973
245,AKT1,PDCD4,-1,0.741
246,AKT1,PEA15,1,0.74
247,AKT1,PPARGC1A,-1,0.569
248,AKT1,PPP1CA,-1,0.52
249,AKT1,PRKACA,1,0.351
250,AKT1,PRKCD,1,0.175
251,AKT1,PTPN1,-1,0.983
252,AKT1,RNF11,-1,0.423
253,AKT1,RPS6KB1,1,0.97
254,AKT1,RUNX1T1,1,0.279
255,AKT1,S1PR1,1,0.967
256,AKT1,SFN,1,0.954
257,AKT1,SH3RF1,-1,0.695
258,AKT1,SKI,-1,0.36
259,AKT1,SKP2,1,0.675
260,AKT1,SMARCC1,1,0.375
261,AKT1,SOX9,1,0.339
262,AKT1,SRC,1,0.967
263,AKT1,SRPK2,1,0.16
264,AKT1,STK3,-1,0.578
265,AKT1,STK4,-1,0.532
266,AKT1,TAL1,-1,0.623
267,AKT1,TOPBP1,1,0.682
268,AKT1,TP53BP1,-1,0.333
269,AKT1,TP53RK,1,0.221
270,AKT1,TSC2,-1,0.997
271,AKT1,TWIST1,1,0.682
272,AKT1,VCP,1,0.717
273,AKT1,WNK1,1,0.485
274,AKT1,XIAP,1,0.855
275,AKT1,YAP1,-1,0.804
276,AKT1,YBX1,1,0.769
277,AKT1,YWHAZ,1,0.962
278,AKT1,ZYX,-1,0.623
279,AKT1,TERT,1,0.981
280,AKT1,TRIP10,1,0.199
281,AKT1,NOS3,1,0.996
282,AKT1,ATXN1,1,0.696
283,AKT1,DNAJB2,1,0.167
284,AKT1,DNMT1,1,0.779
285,AKT1,GATA2,-1,0.801
286,AKT1,ITPR1,-1,0.777
287,AKT1,METTL1,-1,0.565
288,AKT1,MXD1,-1,0.624
289,AKT1,NOC2L,1,0.192
290,AKT1,PDE3B,1,0.94
291,AKT1,PFKFB2,1,0.939
292,AKT1,PFKFB3,1,0.649
293,AKT1,PHF20,-1,0.901
294,AKT1,PIKFYVE,1,0.756
295,AKT1,POU5F1,1,0.738
296,AKT1,SLC2A4,1,0.912
297,AKT1,SLC9A1,1,0.638
298,AKT1,SNRNP70,1,0.223
299,AKT1,SP7,1,0.605
300,AKT1,SRSF1,1,0.29
301,AKT1,TBC1D1,-1,0.627
302,AKT1,TBC1D4,-1,0.986
303,AKT1,TTC3,1,0.479
304,AKT1,VIM,1,0.986
305,AKT1,ZFP36L1,-1,0.963
306,AKT1,ZHX1,1,0.198
307,AKT1S1,AKT3,-1,0.964
308,AKT1S1,MTOR,-1,0.987
309,AKT1S1,RPTOR,-1,0.991
310,AKT2,AKT1S1,-1,0.961
311,AKT2,BRAF,-1,0.247
312,AKT2,CDKN1B,-1,0.934
313,AKT2,CHUK,1,0.942
314,AKT2,CREB1,1,0.963
315,AKT2,CTNNB1,1,0.96
316,AKT2,EP300,1,0.333
317,AKT2,ESR1,1,0.597
318,AKT2,EZR,1,0.637
319,AKT2,FOXO1,-1,0.996
320,AKT2,FOXO3,-1,0.992
321,AKT2,GSK3A,-1,0.953
322,AKT2,GSK3B,-1,0.968
323,AKT2,HSPB1,-1,0.225
324,AKT2,MAP3K5,-1,0.939
325,AKT2,MAPK8,-1,0.455
326,AKT2,MTOR,1,0.996
327,AKT2,NFKB1,1,0.436
328,AKT2,PPARGC1A,-1,0.382
329,AKT2,PTPN1,-1,0.386
330,AKT2,RAF1,-1,0.848
331,AKT2,SH3RF1,-1,0.696
332,AKT2,STK3,-1,0.268
333,AKT2,STK4,-1,0.268
334,AKT2,TSC2,-1,0.987
335,AKT2,XIAP,1,0.543
336,AKT2,NOS3,1,0.932
337,AKT2,FOXO4,-1,0.964
338,AKT3,AKT1S1,-1,0.964
339,AKT3,BRAF,-1,0.309
340,AKT3,CASP9,-1,0.936
341,AKT3,CHUK,1,0.916
342,AKT3,CREB1,1,0.962
343,AKT3,FOXO3,-1,0.991
344,AKT3,STK3,-1,0.294
345,AKT3,STK4,-1,0.324
346,AKT3,TSC2,-1,0.992
347,AKT3,NOS3,1,0.926
348,AKT3,AGO2,1,0.515
349,AKT3,TBX3,1,0.466
350,ALK,JAK3,1,0.506
351,ALK,PLCG1,1,0.545
352,ALK,PTN,1,0.774
353,ALK,PTPN11,1,0.478
354,ALK,SHC1,1,0.534
355,ALK,SHC3,1,0.482
356,ALK,STAT3,1,0.708
357,ALK,TP53,-1,0.58
358,ALS2,RAB5A,1,0.931
359,AMBRA1,BECN1,1,0.991
360,AMBRA1,TRAF6,1,0.403
361,AMER1,APC,1,0.978
362,AMER1,AXIN1,1,0.99
363,AMER1,CSNK1G1,1,0.279
364,AMER1,GSK3B,1,0.907
365,AMFR,SOD1,-1,0.459
366,AMFR,VCP,1,0.993
367,AMH,AMHR2,1,0.989
368,AMHR2,ACVR1,1,0.958
369,AMHR2,BMPR1B,1,0.712
370,AMOT,WWTR1,-1,0.908
371,AMOT,YAP1,-1,0.962
372,ANAPC1,ANAPC10,1,0.999
373,ANAPC1,ANAPC2,1,0.999
374,ANAPC1,ANAPC4,1,0.999
375,ANAPC1,ANAPC5,1,0.998
376,ANAPC1,ANAPC7,1,0.998
377,ANAPC1,CDC16,1,0.999
378,ANAPC1,CDC23,1,0.999
379,ANAPC1,CDC26,1,0.979
380,ANAPC1,CDC27,1,0.999
381,ANAPC1,CDK1,-1,0.983
382,ANAPC1,FZR1,1,0.997
383,ANAPC10,ANAPC1,1,0.999
384,ANAPC10,ANAPC11,1,0.999
385,ANAPC10,ANAPC2,1,0.999
386,ANAPC10,ANAPC4,1,0.999
387,ANAPC10,ANAPC5,1,0.999
388,ANAPC10,ANAPC7,1,0.999
389,ANAPC10,CDC16,1,0.999
390,ANAPC10,CDC23,1,0.999
391,ANAPC10,CDC27,1,0.999
392,ANAPC10,CDK1,-1,0.984
393,ANAPC10,FZR1,1,0.999
394,ANAPC11,ANAPC10,1,0.999
395,ANAPC11,ANAPC2,1,0.999
396,ANAPC11,ANAPC4,1,0.999
397,ANAPC11,CDC16,1,0.998
398,ANAPC11,CDC27,1,0.998
399,ANAPC11,FZR1,1,0.996
400,ANAPC11,UBE2C,1,0.993
401,ANAPC13,ANAPC4,1,0.995
402,ANAPC13,CDC16,1,0.997
403,ANAPC13,CDC23,1,0.999
404,ANAPC13,CDC27,1,0.999
405,ANAPC2,ANAPC1,1,0.999
406,ANAPC2,ANAPC10,1,0.999
407,ANAPC2,ANAPC11,1,0.999
408,ANAPC2,ANAPC4,1,0.999
409,ANAPC2,ANAPC5,1,0.999
410,ANAPC2,ANAPC7,1,0.999
411,ANAPC2,CDC16,1,0.999
412,ANAPC2,CDC23,1,0.999
413,ANAPC2,CDC26,1,0.977
414,ANAPC2,CDC27,1,0.999
415,ANAPC2,DVL1,-1,0.471
416,ANAPC2,FZR1,1,0.999
417,ANAPC2,UBE2C,1,0.99
418,ANAPC4,ANAPC1,1,0.999
419,ANAPC4,ANAPC10,1,0.999
420,ANAPC4,ANAPC11,1,0.999
421,ANAPC4,ANAPC13,1,0.995
422,ANAPC4,ANAPC2,1,0.999
423,ANAPC4,ANAPC5,1,0.999
424,ANAPC4,ANAPC7,1,0.999
425,ANAPC4,CCNB1,-1,0.982
426,ANAPC4,CDC16,1,0.999
427,ANAPC4,CDC23,1,0.999
428,ANAPC4,CDC26,1,0.979
429,ANAPC4,CDC27,1,0.999
430,ANAPC4,CDK1,-1,0.978
431,ANAPC4,FZR1,1,0.999
432,ANAPC5,ANAPC1,1,0.998
433,ANAPC5,ANAPC10,1,0.999
434,ANAPC5,ANAPC2,1,0.999
435,ANAPC5,ANAPC4,1,0.999
436,ANAPC5,ANAPC7,1,0.999
437,ANAPC5,CDC16,1,0.999
438,ANAPC5,CDC23,1,0.999
439,ANAPC5,CDC27,1,0.999
440,ANAPC5,FZR1,1,0.999
441,ANAPC7,ANAPC1,1,0.998
442,ANAPC7,ANAPC10,1,0.999
443,ANAPC7,ANAPC2,1,0.999
444,ANAPC7,ANAPC4,1,0.999
445,ANAPC7,ANAPC5,1,0.999
446,ANAPC7,CDC16,1,0.999
447,ANAPC7,CDC23,1,0.999
448,ANAPC7,CDC27,1,0.999
449,ANAPC7,FZR1,1,0.997
450,ANGPT1,ANGPT2,-1,0.935
451,ANGPT1,TEK,1,0.998
452,ANGPT1,TIE1,1,0.844
453,ANGPT2,ANGPT1,-1,0.935
454,ANGPT2,TEK,1,0.997
455,ANGPT4,TEK,1,0.988
456,ANGPTL4,LPL,-1,0.987
457,ANK1,ITPR1,1,0.844
458,ANKRD12,TADA3,-1,0.415
459,ANKRD6,DVL2,1,0.812
460,ANP32A,APAF1,1,0.157
461,ANXA1,FPR1,1,0.984
462,ANXA1,SRC,1,0.535
463,ANXA2,PLAT,1,0.978
464,ANXA2,PLG,1,0.985
465,AP2A1,GRB2,1,0.332
466,AP2M1,EGFR,-1,0.924
467,APAF1,CASP3,1,0.997
468,APAF1,CASP9,1,0.999
469,APAF1,CYCS,1,0.997
470,APBB1,MAPK3,1,0.194
471,APBB1IP,VASP,1,0.963
472,APC,ARHGEF4,1,0.952
473,APC,AXIN1,1,0.997
474,APC,CSNK2A1,-1,0.562
475,APC,CTBP1,1,0.952
476,APC2,AXIN1,1,0.986
477,APC2,CTNNB1,-1,0.987
478,APEX1,ARNT,1,0.91
479,APEX1,STAT3,1,0.488
480,APEX1,TP53,1,0.854
481,APEX1,TXN,1,0.915
482,APEX1,CCNO,1,0.195
483,APH1A,NCSTN,1,0.999
484,APH1A,PSEN1,1,0.995
485,APH1A,PSEN2,1,0.993
486,APH1A,PSENEN,1,0.999
487,APH1B,NCSTN,1,0.997
488,APH1B,PSEN1,1,0.991
489,APH1B,PSEN2,1,0.989
490,APH1B,PSENEN,1,0.99
491,APIP,APAF1,-1,0.814
492,APLF,PARP1,1,0.825
493,APOA1,ABCA1,1,0.992
494,APOA1,APOE,1,0.99
495,APOA1,LCAT,1,0.989
496,APOA5,LPL,1,0.804
497,APOC2,LPL,1,0.885
498,APOC2,APOA2,1,0.883
499,APOE,APP,1,0.948
500,APOE,LRP8,1,0.985
501,APOE,LDLR,1,0.997
502,APOE,MAPT,1,0.753
503,APOE,SORL1,1,0.655
504,APOE,VLDLR,1,0.879
505,APP,BACE1,1,0.995
506,APP,GAPDH,-1,0.94
507,APP,GSK3B,1,0.789
508,APP,MAPK10,1,0.968
509,APP,MAPK8,1,0.985
510,APP,MAPK9,1,0.944
511,APP,APBA2,-1,0.956
512,APP,NAE1,1,0.959
513,APPL1,DCC,-1,0.937
514,APPL1,STK11,1,0.529
515,AR,CASP2,-1,0.524
516,AR,CASP3,1,0.691
517,AR,CFLAR,1,0.249
518,AR,EGFR,1,0.881
519,AR,ERBB3,1,0.596
520,AR,ESR1,1,0.551
521,AR,F2R,1,0.151
522,AR,FGF8,1,0.304
523,AR,FHL2,1,0.974
524,AR,FOXO3,-1,0.687
525,AR,HSPB1,1,0.341
526,AR,IGFBP3,1,0.531
527,AR,JUN,1,0.848
528,AR,KLK2,1,0.974
529,AR,KRT18,1,0.38
530,AR,MAPK3,1,0.526
531,AR,MMP2,1,0.364
532,AR,NCOA2,1,0.999
533,AR,NCOR1,1,0.915
534,AR,NKX3-1,1,0.981
535,AR,NR5A1,1,0.576
536,AR,PARK7,-1,0.743
537,AR,PMAIP1,1,0.221
538,AR,SCAP,1,0.535
539,AR,SMARCC1,1,0.964
540,AR,UBE2I,1,0.976
541,AR,ACPP,1,0.545
542,AR,ANO7,1,0.401
543,AR,CA3,1,0.152
544,AR,CYP3A5,1,0.216
545,AR,DBI,1,0.223
546,AR,DDC,1,0.443
547,AR,MME,1,0.336
548,AR,ODC1,1,0.364
549,AR,PGC,1,0.404
550,AR,SMS,1,0.229
551,AR,STEAP4,1,0.313
552,AR,TMPRSS2,1,0.988
553,ARAF,CDK16,1,0.206
554,ARAF,MAP2K1,1,0.992
555,ARAF,MAP2K2,1,0.991
556,ARAF,MAPK1,1,0.943
557,ARAF,MAPK3,1,0.943
558,ARAF,YWHAH,1,0.497
559,ARF1,PLD1,1,0.958
560,ARF1,PLD2,1,0.983
561,ARF1,PIP5K1A,1,0.949
562,ARF6,PLD1,1,0.949
563,ARF6,PIP5K1A,1,0.951
564,ARF6,PIP5K1C,1,0.953
565,ARFGAP1,ARF1,-1,0.997
566,ARFGAP1,LRRK2,1,0.637
567,ARFGAP1,COPA,-1,0.954
568,ARFIP1,ARF1,-1,0.76
569,ARHGAP1,CDC42,-1,0.997
570,ARHGAP1,RAC1,-1,0.954
571,ARHGAP1,ROCK2,1,0.236
572,ARHGAP1,CIT,1,0.235
573,ARHGAP32,ARHGAP1,-1,0.171
574,ARHGAP32,CRK,1,0.768
575,ARHGAP32,CRKL,1,0.663
576,ARHGAP32,RHOA,1,0.951
577,ARHGAP32,SRC,1,0.504
578,ARHGDIA,CDC42,-1,0.997
579,ARHGDIA,RAC1,-1,0.99
580,ARHGDIA,RHOA,1,0.998
581,ARHGEF1,ARHGAP1,1,0.279
582,ARHGEF1,RHOA,1,0.975
583,ARHGEF11,RHOA,1,0.986
584,ARHGEF12,ARHGAP1,1,0.288
585,ARHGEF12,RHOA,1,0.985
586,ARHGEF18,RHOA,1,0.954
587,ARHGEF2,ARHGAP1,1,0.161
588,ARHGEF2,RAC1,1,0.941
589,ARHGEF2,RHOA,1,0.985
590,ARHGEF25,RHOA,1,0.993
591,ARHGEF3,RHOA,1,0.984
592,ARHGEF4,RAC1,1,0.944
593,ARHGEF5,RHOA,1,0.963
594,ARHGEF6,CDC42,1,0.972
595,ARHGEF6,GIT1,1,0.981
596,ARHGEF6,PAK1,1,0.982
597,ARHGEF6,RAC1,1,0.946
598,ARHGEF7,ARHGAP1,1,0.441
599,ARHGEF7,CBL,-1,0.964
600,ARHGEF7,CBLC,-1,0.158
601,ARHGEF7,CDC42,1,0.982
602,ARHGEF7,GIT1,1,0.991
603,ARHGEF7,LRRK2,1,0.419
604,ARHGEF7,RAC1,1,0.953
605,ARHGEF9,GPHN,1,0.92
606,ARID3A,E2F1,1,0.406
607,ARID4A,RB1,-1,0.812
608,ARIH2,GFI1,-1,0.48
609,ARNT,AHR,1,0.981
610,ARNT,EGLN1,1,0.957
611,ARNT,EGLN3,1,0.953
612,ARNTL,CLOCK,-1,0.991
613,ARNTL,CRY1,1,0.999
614,ARNTL,CRY2,1,0.999
615,ARNTL,MAGEL2,-1,0.493
616,ARNTL,NR1D1,1,0.985
617,ARNTL,PER1,1,0.997
618,ARNTL,PER2,1,0.997
619,ARPC1B,ACTB,1,0.97
620,ARRB1,ADRB2,-1,0.976
621,ARRB1,AGTR1,1,0.971
622,ARRB1,DVL1,1,0.522
623,ARRB1,DVL2,1,0.96
624,ARRB1,FZD1,1,0.216
625,ARRB1,GNAS,1,0.944
626,ARRB1,KIF3A,1,0.958
627,ARRB1,MAP3K5,1,0.484
628,ARRB1,MAPK1,1,0.978
629,ARRB1,MAPK14,1,0.431
630,ARRB1,MAPK3,1,0.974
631,ARRB1,OPRM1,-1,0.911
632,ARRB1,SMO,1,0.952
633,ARRB1,SRC,1,0.967
634,ARRB1,NFKBIA,1,0.499
635,ARRB1,PDE4D,1,0.49
636,ARRB2,KIF3A,1,0.979
637,ARRB2,MAPK10,1,0.834
638,ARRB2,MAPK3,-1,0.978
639,ARRB2,TRPV1,-1,0.206
640,ARVCF,CDH1,1,0.755
641,ARVCF,CDH2,1,0.681
642,ARVCF,ERBIN,1,0.795
643,ARVCF,CDH3,1,0.525
644,ARVCF,CDH5,1,0.408
645,ASAP1,ARF1,-1,0.979
646,ASAP2,ARF1,-1,0.967
647,ASAP2,ARF6,1,0.963
648,ASAP3,ARF6,1,0.944
649,ASF1A,EP300,1,0.686
650,ASF1A,HIST1H4B,1,0.895
651,ASF1A,HIST1H4C,1,0.843
652,ASF1A,HIST1H4F,1,0.807
653,ASF1A,HIST1H4J,1,0.843
654,ASF1A,HIST4H4,1,0.895
655,ASF1A,CHAF1B,1,0.943
656,ASF1A,HIST1H3D,1,0.871
657,ASF1A,HIST1H3H,1,0.869
658,ASF1A,HIST1H3J,1,0.91
659,ASF1B,HIST1H4B,1,0.878
660,ASF1B,HIST1H4C,1,0.837
661,ASF1B,HIST1H4F,1,0.807
662,ASF1B,HIST1H4J,1,0.837
663,ASF1B,HIST4H4,1,0.891
664,ASF1B,CHAF1B,1,0.958
665,ASF1B,HIST1H3D,1,0.838
666,ASF1B,HIST1H3H,1,0.836
667,ASF1B,HIST1H3J,1,0.891
668,ASH1L,HIST1H3D,1,0.865
669,ASH1L,HIST1H3H,1,0.865
670,ASH1L,HIST1H3J,1,0.871
671,ASIP,ATRN,1,0.669
672,ASIP,MC1R,-1,0.964
673,ATAD2,E2F1,1,0.469
674,ATAD2,ESR1,1,0.553
675,ATAD2,MYC,1,0.747
676,ATF1,ATM,1,0.485
677,ATF1,JUN,1,0.959
678,ATF2,ATF3,1,0.975
679,ATF2,JUN,1,0.989
680,ATF2,MAPK8,1,0.99
681,ATF2,MMP2,1,0.915
682,ATF2,RB1,1,0.954
683,ATF3,JUN,1,0.998
684,ATF3,TP53,-1,0.981
685,ATF4,CREBBP,-1,0.937
686,ATF4,DDIT3,1,0.996
687,ATF4,EP300,-1,0.901
688,ATF6,SREBF2,-1,0.788
689,ATG10,ATG12,1,0.996
690,ATG10,ATG5,1,0.992
691,ATG101,ATG13,1,0.999
692,ATG12,ATG5,1,0.999
693,ATG12,ATG7,1,0.999
694,ATG13,RB1CC1,1,0.997
695,ATG13,ULK1,1,0.998
696,ATG13,ULK2,1,0.99
697,ATG14,BECN1,1,0.998
698,ATG14,NRBF2,1,0.921
699,ATG16L1,GABARAP,1,0.964
700,ATG16L1,CLTC,1,0.324
701,ATG3,GABARAP,1,0.997
702,ATG3,MAP1LC3B,1,0.997
703,ATG4A,GABARAPL2,1,0.993
704,ATG4B,GABARAPL2,1,0.998
705,ATG4B,MAP1LC3C,1,0.995
706,ATG4D,GABARAPL1,1,0.991
707,ATG5,ATG16L1,1,0.999
708,ATG5,GABARAP,1,0.992
709,ATG7,ATG10,1,0.998
710,ATG7,ATG12,1,0.999
711,ATG7,ATG3,1,0.999
712,ATG7,ATG5,1,0.997
713,ATG7,GABARAP,1,0.998
714,ATG7,MAP1LC3A,1,0.997
715,ATG7,MAP1LC3B,1,0.998
716,ATM,ABL1,1,0.987
717,ATM,AKT1,1,0.81
718,ATM,ATF2,1,0.725
719,ATM,AVEN,1,0.482
720,ATM,BID,1,0.909
721,ATM,BLM,1,0.983
722,ATM,BUB1,1,0.681
723,ATM,CHEK1,1,0.998
